A1,B2
A555,B556
A556,B557
A557,B558
A558,B559
A559,B560
A560,B561
A561,B562
A562,B563
A563,B564
A564,B565
A565,B566
A566,B567
A567,B568
A568,B569
A569,B570
A570,B571
A571,B572
A572,B573
A573,B574
A574,B575
A575,B576
A576,B577
A577,B578
A578,B579
A579,B580
A580,B581
A581,B582
A582,B583
A583,B584
A584,B585
A585,B586
A586,B587
A587,B588
A588,B589
A589,B590
A590,B591
A591,B592
A592,B593
A593,B594
A594,B595
A595,B596
A596,B597
A597,B598
A598,B599
A599,B600
A600,B601
A601,B602
A602,B603
A603,B604
A604,B605
A605,B606
A606,B607
A607,B608
A608,B609
A609,B610
A610,B611
A611,B612
A612,B613
A613,B614
A614,B615
A615,B616
A616,B617
A617,B618
A618,B619
A619,B620
A620,B621
A621,B622
A622,B623
A623,B624
A624,B625
A625,B626
A626,B627
A627,B628
A628,B629
A629,B630
A630,B631
A631,B632
A632,B633
A633,B634
A634,B635
A635,B636
A636,B637
A637,B638
A638,B639
A639,B640
A640,B641
A641,B642
A642,B643
A643,B644
A644,B645
A645,B646
A646,B647
A647,B648
A648,B649
A649,B650
A650,B651
A651,B652
A652,B653
A653,B654
A654,B655
A655,B656
A656,B657
A657,B658
A658,B659
A659,B660
A660,B661
A661,B662
A662,B663
A663,B664
A664,B665
A665,B666
A666,B667
A667,B668
A668,B669
A669,B670
A670,B671
A671,B672
A672,B673
A673,B674
A674,B675
A675,B676
A676,B677
A677,B678
A678,B679
A679,B680
A680,B681
A681,B682
A682,B683
A683,B684
A684,B685
A685,B686
A686,B687
A687,B688
A688,B689
A689,B690
A690,B691
A691,B692
A692,B693
A693,B694
A694,B695
A695,B696
A696,B697
A697,B698
A698,B699
A699,B700
A700,B701
A701,B702
A702,B703
A703,B704
A704,B705
A705,B706
A706,B707
A707,B708
A708,B709
A709,B710
A710,B711
A711,B712
A712,B713
A713,B714
A714,B715
A715,B716
A716,B717
A717,B718
A718,B719
A719,B720
A720,B721
A721,B722
A722,B723
A723,B724
A724,B725
A725,B726
A726,B727
A727,B728
A728,B729
A729,B730
A730,B731
A731,B732
A732,B733
A733,B734
A734,B735
A735,B736
A736,B737
A737,B738
A738,B739
A739,B740
A740,B741
A741,B742
A742,B743
A743,B744
A744,B745
A745,B746
A746,B747
A747,B748
A748,B749
A749,B750
A750,B751
A751,B752
A752,B753
A753,B754
A754,B755
A755,B756
A756,B757
A757,B758
A758,B759
A759,B760
A760,B761
A761,B762
A762,B763
A763,B764
A764,B765
A765,B766
A766,B767
A767,B768
A768,B769
A769,B770
A770,B771
A771,B772
A772,B773
A773,B774
A774,B775
A775,B776
A776,B777
A777,B778
A778,B779
A779,B780
A780,B781
A781,B782
A782,B783
A783,B784
A784,B785
A785,B786
A786,B787
A787,B788
A788,B789
A789,B790
A790,B791
A791,B792
A792,B793
A793,B794
A794,B795
A795,B796
A796,B797
A797,B798
A798,B799
A799,B800
A800,B801
A801,B802
A802,B803
A803,B804
A804,B805
A805,B806
A806,B807
A807,B808
A808,B809
A809,B810
A810,B811
A811,B812
A812,B813
A813,B814
A814,B815
A815,B816
A816,B817
A817,B818
A818,B819
A819,B820
A820,B821
A821,B822
A822,B823
A823,B824
A824,B825
A825,B826
A826,B827
A827,B828
A828,B829
A829,B830
A830,B831
A831,B832
A832,B833
A833,B834
A834,B835
A835,B836
A836,B837
A837,B838
A838,B839
A839,B840
A840,B841
A841,B842
A842,B843
A843,B844
A844,B845
A845,B846
A846,B847
A847,B848
A848,B849
A849,B850
A850,B851
A851,B852
A852,B853
A853,B854
A854,B855
A855,B856
A856,B857
A857,B858
A858,B859
A859,B860
A860,B861
A861,B862
A862,B863
A863,B864
A864,B865
A865,B866
A866,B867
A867,B868
A868,B869
A869,B870
A870,B871
A871,B872
A872,B873
A873,B874
A874,B875
A875,B876
A876,B877
A877,B878
A878,B879
A879,B880
A880,B881
A881,B882
A882,B883
A883,B884
A884,B885
A885,B886
A886,B887
A887,B888
A888,B889
A889,B890
A890,B891
A891,B892
A892,B893
A893,B894
A894,B895
A895,B896
A896,B897
A897,B898
A898,B899
A899,B900
A900,B901
A901,B902
A902,B903
A903,B904
A904,B905
A905,B906
A906,B907
A907,B908
A908,B909
A909,B910
A910,B911
A911,B912
A912,B913
A913,B914
A914,B915
A915,B916
A916,B917
A917,B918
A918,B919
A919,B920
A920,B921
A921,B922
A922,B923
A923,B924
A924,B925
A925,B926
A926,B927
A927,B928
A928,B929
A929,B930
A930,B931
A931,B932
A932,B933
A933,B934
A934,B935
A935,B936
A936,B937
A937,B938
A938,B939
A939,B940
A940,B941
A941,B942
A942,B943
A943,B944
A944,B945
A945,B946
A946,B947
A947,B948
A948,B949
A949,B950
A950,B951
A951,B952
A952,B953
A953,B954
A954,B955
A955,B956
A956,B957
A957,B958
A958,B959
A959,B960
A960,B961
A961,B962
A962,B963
A963,B964
A964,B965
A965,B966
A966,B967
A967,B968
A968,B969
A969,B970
A970,B971
A971,B972
A972,B973
A973,B974
A974,B975
A975,B976
A976,B977
A977,B978
A978,B979
A979,B980
A980,B981
A981,B982
A982,B983
A983,B984
A984,B985
A985,B986
A986,B987
A987,B988
A988,B989
A989,B990
A990,B991
A991,B992
A992,B993
A993,B994
A994,B995
A995,B996
A996,B997
A997,B998
A998,B999
A999,B1000
A1000,B1001
A1001,B1002
A1002,B1003
A1003,B1004
A1004,B1005
A1005,B1006
A1006,B1007
A1007,B1008
A1008,B1009
A1009,B1010
A1010,B1011
A1011,B1012
A1012,B1013
A1013,B1014
A1014,B1015
A1015,B1016
A1016,B1017
A1017,B1018
A1018,B1019
A1019,B1020
A1020,B1021
A1021,B1022
A1022,B1023
A1023,B1024
A1024,B1025
A1025,B1026
A1026,B1027
A1027,B1028
A1028,B1029
A1029,B1030
A1030,B1031
A1031,B1032
A1032,B1033
A1033,B1034
A1034,B1035
A1035,B1036
A1036,B1037
A1037,B1038
A1038,B1039
A1039,B1040
A1040,B1041
A1041,B1042
A1042,B1043
A1043,B1044
A1044,B1045
A1045,B1046
A1046,B1047
A1047,B1048
A1048,B1049
A1049,B1050
A1050,B1051
A1051,B1052
A1052,B1053
A1053,B1054
A1054,B1055
A1055,B1056
A1056,B1057
A1057,B1058
A1058,B1059
A1059,B1060
A1060,B1061
A1061,B1062
A1062,B1063
A1063,B1064
A1064,B1065
A1065,B1066
A1066,B1067
A1067,B1068
A1068,B1069
A1069,B1070
A1070,B1071
A1071,B1072
A1072,B1073
A1073,B1074
A1074,B1075
A1075,B1076
A1076,B1077
A1077,B1078
A1078,B1079
A1079,B1080
A1080,B1081
A1081,B1082
A1082,B1083
A1083,B1084
A1084,B1085
A1085,B1086
A1086,B1087
A1087,B1088
A1088,B1089
A1089,B1090
A1090,B1091
A1091,B1092
A1092,B1093
A1093,B1094
A1094,B1095
A1095,B1096
A1096,B1097
A1097,B1098
A1098,B1099
A1099,B1100
A1100,B1101
A1101,B1102
A1102,B1103
A1103,B1104
A1104,B1105
A1105,B1106
A1106,B1107
A1107,B1108
A1108,B1109
A1109,B1110
A1110,B1111
A1111,B1112
A1112,B1113
A1113,B1114
A1114,B1115
A1115,B1116
A1116,B1117
A1117,B1118
A1118,B1119
A1119,B1120
A1120,B1121
A1121,B1122
A1122,B1123
A1123,B1124
A1124,B1125
A1125,B1126
A1126,B1127
A1127,B1128
A1128,B1129
A1129,B1130
A1130,B1131
A1131,B1132
A1132,B1133
A1133,B1134
A1134,B1135
A1135,B1136
A1136,B1137
A1137,B1138
A1138,B1139
A1139,B1140
A1140,B1141
A1141,B1142
A1142,B1143
A1143,B1144
A1144,B1145
A1145,B1146
A1146,B1147
A1147,B1148
A1148,B1149
A1149,B1150
A1150,B1151
A1151,B1152
A1152,B1153
A1153,B1154
A1154,B1155
A1155,B1156
A1156,B1157
A1157,B1158
A1158,B1159
A1159,B1160
A1160,B1161
A1161,B1162
A1162,B1163
A1163,B1164
A1164,B1165
A1165,B1166
A1166,B1167
A1167,B1168
A1168,B1169
A1169,B1170
A1170,B1171
A1171,B1172
A1172,B1173
A1173,B1174
A1174,B1175
A1175,B1176
A1176,B1177
A1177,B1178
A1178,B1179
A1179,B1180
A1180,B1181
A1181,B1182
A1182,B1183
A1183,B1184
A1184,B1185
A1185,B1186
A1186,B1187
A1187,B1188
A1188,B1189
A1189,B1190
A1190,B1191
A1191,B1192
A1192,B1193
A1193,B1194
A1194,B1195
A1195,B1196
A1196,B1197
A1197,B1198
A1198,B1199
A1199,B1200
A1200,B1201
A1201,B1202
A1202,B1203
A1203,B1204
A1204,B1205
A1205,B1206
A1206,B1207
A1207,B1208
A1208,B1209
A1209,B1210
A1210,B1211
A1211,B1212
A1212,B1213
A1213,B1214
A1214,B1215
A1215,B1216
A1216,B1217
A1217,B1218
A1218,B1219
A1219,B1220
A1220,B1221
A1221,B1222
A1222,B1223
A1223,B1224
A1224,B1225
A1225,B1226
A1226,B1227
A1227,B1228
A1228,B1229
A1229,B1230
A1230,B1231
A1231,B1232
A1232,B1233
A1233,B1234
A1234,B1235
A1235,B1236
A1236,B1237
A1237,B1238
A1238,B1239
A1239,B1240
A1240,B1241
A1241,B1242
A1242,B1243
A1243,B1244
A1244,B1245
A1245,B1246
A1246,B1247
A1247,B1248
A1248,B1249
A1249,B1250
A1250,B1251
A1251,B1252
A1252,B1253
A1253,B1254
A1254,B1255
A1255,B1256
A1256,B1257
A1257,B1258
A1258,B1259
A1259,B1260
A1260,B1261
A1261,B1262
A1262,B1263
A1263,B1264
A1264,B1265
A1265,B1266
A1266,B1267
A1267,B1268
A1268,B1269
A1269,B1270
A1270,B1271
A1271,B1272
A1272,B1273
A1273,B1274
A1274,B1275
A1275,B1276
A1276,B1277
A1277,B1278
A1278,B1279
A1279,B1280
A1280,B1281
A1281,B1282
A1282,B1283
A1283,B1284
A1284,B1285
A1285,B1286
A1286,B1287
A1287,B1288
A1288,B1289
A1289,B1290
A1290,B1291
A1291,B1292
A1292,B1293
A1293,B1294
A1294,B1295
A1295,B1296
A1296,B1297
A1297,B1298
A1298,B1299
A1299,B1300
A1300,B1301
A1301,B1302
A1302,B1303
A1303,B1304
A1304,B1305
A1305,B1306
A1306,B1307
A1307,B1308
A1308,B1309
A1309,B1310
A1310,B1311
A1311,B1312
A1312,B1313
A1313,B1314
A1314,B1315
A1315,B1316
A1316,B1317
A1317,B1318
A1318,B1319
A1319,B1320
A1320,B1321
A1321,B1322
A1322,B1323
A1323,B1324
A1324,B1325
A1325,B1326
A1326,B1327
A1327,B1328
A1328,B1329
A1329,B1330
A1330,B1331
A1331,B1332
A1332,B1333
A1333,B1334
A1334,B1335
A1335,B1336
A1336,B1337
A1337,B1338
A1338,B1339
A1339,B1340
A1340,B1341
A1341,B1342
A1342,B1343
A1343,B1344
A1344,B1345
A1345,B1346
A1346,B1347
A1347,B1348
A1348,B1349
A1349,B1350
A1350,B1351
A1351,B1352
A1352,B1353
A1353,B1354
A1354,B1355
A1355,B1356
A1356,B1357
A1357,B1358
A1358,B1359
A1359,B1360
A1360,B1361
A1361,B1362
A1362,B1363
A1363,B1364
A1364,B1365
A1365,B1366
A1366,B1367
A1367,B1368
A1368,B1369
A1369,B1370
A1370,B1371
A1371,B1372
A1372,B1373
A1373,B1374
A1374,B1375
A1375,B1376
A1376,B1377
A1377,B1378
A1378,B1379
A1379,B1380
A1380,B1381
A1381,B1382
A1382,B1383
A1383,B1384
A1384,B1385
A1385,B1386
A1386,B1387
A1387,B1388
A1388,B1389
A1389,B1390
A1390,B1391
A1391,B1392
A1392,B1393
A1393,B1394
A1394,B1395
A1395,B1396
A1396,B1397
A1397,B1398
A1398,B1399
A1399,B1400
A1400,B1401
A1401,B1402
A1402,B1403
A1403,B1404
A1404,B1405
A1405,B1406
A1406,B1407
A1407,B1408
A1408,B1409
A1409,B1410
A1410,B1411
A1411,B1412
A1412,B1413
A1413,B1414
A1414,B1415
A1415,B1416
A1416,B1417
A1417,B1418
A1418,B1419
A1419,B1420
A1420,B1421
A1421,B1422
A1422,B1423
A1423,B1424
A1424,B1425
A1425,B1426
A1426,B1427
A1427,B1428
A1428,B1429
A1429,B1430
A1430,B1431
A1431,B1432
A1432,B1433
A1433,B1434
A1434,B1435
A1435,B1436
A1436,B1437
A1437,B1438
A1438,B1439
A1439,B1440
A1440,B1441
A1441,B1442
A1442,B1443
A1443,B1444
A1444,B1445
A1445,B1446
A1446,B1447
A1447,B1448
A1448,B1449
A1449,B1450
A1450,B1451
A1451,B1452
A1452,B1453
A1453,B1454
A1454,B1455
A1455,B1456
A1456,B1457
A1457,B1458
A1458,B1459
A1459,B1460
A1460,B1461
A1461,B1462
A1462,B1463
A1463,B1464
A1464,B1465
A1465,B1466
A1466,B1467
A1467,B1468
A1468,B1469
A1469,B1470
A1470,B1471
A1471,B1472
A1472,B1473
A1473,B1474
A1474,B1475
A1475,B1476
A1476,B1477
A1477,B1478
A1478,B1479
A1479,B1480
A1480,B1481
A1481,B1482
A1482,B1483
A1483,B1484
A1484,B1485
A1485,B1486
A1486,B1487
A1487,B1488
A1488,B1489
A1489,B1490
A1490,B1491
A1491,B1492
A1492,B1493
A1493,B1494
A1494,B1495
A1495,B1496
A1496,B1497
A1497,B1498
A1498,B1499
A1499,B1500
A1500,B1501
A1501,B1502
A1502,B1503
A1503,B1504
A1504,B1505
A1505,B1506
A1506,B1507
A1507,B1508
A1508,B1509
A1509,B1510
A1510,B1511
A1511,B1512
A1512,B1513
A1513,B1514
A1514,B1515
A1515,B1516
A1516,B1517
A1517,B1518
A1518,B1519
A1519,B1520
A1520,B1521
A1521,B1522
A1522,B1523
A1523,B1524
A1524,B1525
A1525,B1526
A1526,B1527
A1527,B1528
A1528,B1529
A1529,B1530
A1530,B1531
A1531,B1532
A1532,B1533
A1533,B1534
A1534,B1535
A1535,B1536
A1536,B1537
A1537,B1538
A1538,B1539
A1539,B1540
A1540,B1541
A1541,B1542
A1542,B1543
A1543,B1544
A1544,B1545
A1545,B1546
A1546,B1547
A1547,B1548
A1548,B1549
A1549,B1550
A1550,B1551
A1551,B1552
A1552,B1553
A1553,B1554
A1554,B1555
A1555,B1556
A1556,B1557
A1557,B1558
A1558,B1559
A1559,B1560
A1560,B1561
A1561,B1562
A1562,B1563
A1563,B1564
A1564,B1565
A1565,B1566
A1566,B1567
A1567,B1568
A1568,B1569
A1569,B1570
A1570,B1571
A1571,B1572
A1572,B1573
A1573,B1574
A1574,B1575
A1575,B1576
A1576,B1577
A1577,B1578
A1578,B1579
A1579,B1580
A1580,B1581
A1581,B1582
A1582,B1583
A1583,B1584
A1584,B1585
A1585,B1586
A1586,B1587
A1587,B1588
A1588,B1589
A1589,B1590
A1590,B1591
A1591,B1592
A1592,B1593
A1593,B1594
A1594,B1595
A1595,B1596
A1596,B1597
A1597,B1598
A1598,B1599
A1599,B1600
A1600,B1601
A1601,B1602
A1602,B1603
A1603,B1604
A1604,B1605
A1605,B1606
A1606,B1607
A1607,B1608
A1608,B1609
A1609,B1610
A1610,B1611
A1611,B1612
A1612,B1613
A1613,B1614
A1614,B1615
A1615,B1616
A1616,B1617
A1617,B1618
A1618,B1619
A1619,B1620
A1620,B1621
A1621,B1622
A1622,B1623
A1623,B1624
A1624,B1625
A1625,B1626
A1626,B1627
A1627,B1628
A1628,B1629
A1629,B1630
A1630,B1631
A1631,B1632
A1632,B1633
A1633,B1634
A1634,B1635
A1635,B1636
A1636,B1637
A1637,B1638
A1638,B1639
A1639,B1640
A1640,B1641
A1641,B1642
A1642,B1643
A1643,B1644
A1644,B1645
A1645,B1646
A1646,B1647
A1647,B1648
A1648,B1649
A1649,B1650
A1650,B1651
A1651,B1652
A1652,B1653
A1653,B1654
A1654,B1655
A1655,B1656
A1656,B1657
A1657,B1658
A1658,B1659
A1659,B1660
A1660,B1661
A1661,B1662
A1662,B1663
A1663,B1664
A1664,B1665
A1665,B1666
A1666,B1667
A1667,B1668
A1668,B1669
A1669,B1670
A1670,B1671
A1671,B1672
A1672,B1673
A1673,B1674
A1674,B1675
A1675,B1676
A1676,B1677
A1677,B1678
A1678,B1679
A1679,B1680
A1680,B1681
A1681,B1682
A1682,B1683
A1683,B1684
A1684,B1685
A1685,B1686
A1686,B1687
A1687,B1688
A1688,B1689
A1689,B1690
A1690,B1691
A1691,B1692
A1692,B1693
A1693,B1694
A1694,B1695
A1695,B1696
A1696,B1697
A1697,B1698
A1698,B1699
A1699,B1700
A1700,B1701
A1701,B1702
A1702,B1703
A1703,B1704
A1704,B1705
A1705,B1706
A1706,B1707
A1707,B1708
A1708,B1709
A1709,B1710
A1710,B1711
A1711,B1712
A1712,B1713
A1713,B1714
A1714,B1715
A1715,B1716
A1716,B1717
A1717,B1718
A1718,B1719
A1719,B1720
A1720,B1721
A1721,B1722
A1722,B1723
A1723,B1724
A1724,B1725
A1725,B1726
A1726,B1727
A1727,B1728
A1728,B1729
A1729,B1730
A1730,B1731
A1731,B1732
A1732,B1733
A1733,B1734
A1734,B1735
A1735,B1736
A1736,B1737
A1737,B1738
A1738,B1739
A1739,B1740
A1740,B1741
A1741,B1742
A1742,B1743
A1743,B1744
A1744,B1745
A1745,B1746
A1746,B1747
A1747,B1748
A1748,B1749
A1749,B1750
A1750,B1751
A1751,B1752
A1752,B1753
A1753,B1754
A1754,B1755
A1755,B1756
A1756,B1757
A1757,B1758
A1758,B1759
A1759,B1760
A1760,B1761
A1761,B1762
A1762,B1763
A1763,B1764
A1764,B1765
A1765,B1766
A1766,B1767
A1767,B1768
A1768,B1769
A1769,B1770
A1770,B1771
A1771,B1772
A1772,B1773
A1773,B1774
A1774,B1775
A1775,B1776
A1776,B1777
A1777,B1778
A1778,B1779
A1779,B1780
A1780,B1781
A1781,B1782
A1782,B1783
A1783,B1784
A1784,B1785
A1785,B1786
A1786,B1787
A1787,B1788
A1788,B1789
A1789,B1790
A1790,B1791
A1791,B1792
A1792,B1793
A1793,B1794
A1794,B1795
A1795,B1796
A1796,B1797
A1797,B1798
A1798,B1799
A1799,B1800
A1800,B1801
A1801,B1802
A1802,B1803
A1803,B1804
A1804,B1805
A1805,B1806
A1806,B1807
A1807,B1808
A1808,B1809
A1809,B1810
A1810,B1811
A1811,B1812
A1812,B1813
A1813,B1814
A1814,B1815
A1815,B1816
A1816,B1817
A1817,B1818
A1818,B1819
A1819,B1820
A1820,B1821
A1821,B1822
A1822,B1823
A1823,B1824
A1824,B1825
A1825,B1826
A1826,B1827
A1827,B1828
A1828,B1829
A1829,B1830
A1830,B1831
A1831,B1832
A1832,B1833
A1833,B1834
A1834,B1835
A1835,B1836
A1836,B1837
A1837,B1838
A1838,B1839
A1839,B1840
A1840,B1841
A1841,B1842
A1842,B1843
A1843,B1844
A1844,B1845
A1845,B1846
A1846,B1847
A1847,B1848
A1848,B1849
A1849,B1850
A1850,B1851
A1851,B1852
A1852,B1853
A1853,B1854
A1854,B1855
A1855,B1856
A1856,B1857
A1857,B1858
A1858,B1859
A1859,B1860
A1860,B1861
A1861,B1862
A1862,B1863
A1863,B1864
A1864,B1865
A1865,B1866
A1866,B1867
A1867,B1868
A1868,B1869
A1869,B1870
A1870,B1871
A1871,B1872
A1872,B1873
A1873,B1874
A1874,B1875
A1875,B1876
A1876,B1877
A1877,B1878
A1878,B1879
A1879,B1880
A1880,B1881
A1881,B1882
A1882,B1883
A1883,B1884
A1884,B1885
A1885,B1886
A1886,B1887
A1887,B1888
A1888,B1889
A1889,B1890
A1890,B1891
A1891,B1892
A1892,B1893
A1893,B1894
A1894,B1895
A1895,B1896
A1896,B1897
A1897,B1898
A1898,B1899
A1899,B1900
A1900,B1901
A1901,B1902
A1902,B1903
A1903,B1904
A1904,B1905
A1905,B1906
A1906,B1907
A1907,B1908
A1908,B1909
A1909,B1910
A1910,B1911
A1911,B1912
A1912,B1913
A1913,B1914
A1914,B1915
A1915,B1916
A1916,B1917
A1917,B1918
A1918,B1919
A1919,B1920
A1920,B1921
A1921,B1922
A1922,B1923
A1923,B1924
A1924,B1925
A1925,B1926
A1926,B1927
A1927,B1928
A1928,B1929
A1929,B1930
A1930,B1931
A1931,B1932
A1932,B1933
A1933,B1934
A1934,B1935
A1935,B1936
A1936,B1937
A1937,B1938
A1938,B1939
A1939,B1940
A1940,B1941
A1941,B1942
A1942,B1943
A1943,B1944
A1944,B1945
A1945,B1946
A1946,B1947
A1947,B1948
A1948,B1949
A1949,B1950
A1950,B1951
A1951,B1952
A1952,B1953
A1953,B1954
A1954,B1955
A1955,B1956
A1956,B1957
A1957,B1958
A1958,B1959
A1959,B1960
A1960,B1961
A1961,B1962
A1962,B1963
A1963,B1964
A1964,B1965
A1965,B1966
A1966,B1967
A1967,B1968
A1968,B1969
A1969,B1970
A1970,B1971
A1971,B1972
A1972,B1973
A1973,B1974
A1974,B1975
A1975,B1976
A1976,B1977
A1977,B1978
A1978,B1979
A1979,B1980
A1980,B1981
A1981,B1982
A1982,B1983
A1983,B1984
A1984,B1985
A1985,B1986
A1986,B1987
A1987,B1988
A1988,B1989
A1989,B1990
A1990,B1991
A1991,B1992
A1992,B1993
A1993,B1994
A1994,B1995
A1995,B1996
A1996,B1997
A1997,B1998
A1998,B1999
